Ref,Name,Sci_key,C_key,Loc,Type,RA,DEC,Vel,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Simbad_Identifier,Ba/Fe,C/Fe
BUR00,BD+302611,*,*,HA,RG,"15 6 53.82789","30 0 36.9417",'-279.98,11.5,10.37,9.13,,,6.882,6.203,6.094,4275,0.8,'-1.4,2.1,BD+30_2611,'-0.06,
FUL00,HIP73960,*,*,HA,RG,"15 6 53.82789","30 0 36.9417",'-279.98,11.5,10.37,9.13,,,6.882,6.203,6.094,4500,1.4,'-1.35,2.1,BD+30_2611,0.09,
FUL00,HIP63970,I,*,HA,MS,"13 6 32.64755","32 40 0.6644",,,10.62,10.12,,,,,,6075,4.4,'-0.07,1,BD+33_2300,0.08,
FUL00,HIP115610,*,*,HA,MS,"23 25 11.31081","34 17 14.1572",'-41.66,,10.29,9.31,8.7,8.3,7.63,7.15,7.06,4800,4.1,'-0.61,1.2,BD+33_4707,'-0.16,
ISH10,BD+342476,*,*,HA,SG,"13 59 9.48348","33 51 39.3674",'-171.29,10.25,10.44,10.06,9.7,9.6,9.077,8.85,8.811,6162,3.62,'-2.2,1.57,BD+34_2476,'-0.22,
FUL00,HIP29759,*,*,HA,RG,"6 16 1.52188","37 43 18.7548",242.18,9.41,9.52,8.92,8.34,7.91,7.532,7.155,7.086,5200,3,'-2.15,1.25,BD+37_1458,0.02,
LAI07,G101-29,*,*,HA,RG,"6 16 1.52188","37 43 18.7548",242.18,9.41,9.52,8.92,8.34,7.91,7.532,7.155,7.086,5332,3.13,'-2.01,,BD+37_1458,'-0.05,0.43
ROE14b,G190-15,*,*,HA,SG,"23 13 38.82045","39 25 2.5901",'-54.67,11.52,11.67,11.01,10.38,9.92,9.54,9.217,9.088,4950,3.85,'-3.12,1.5,BD+38_4955,'-1.21,0.44
FUL00,HIP103269,*,*,HA,MS,"20 55 16.75711","42 18 0.6717",'-130.42,,10.86,10.33,10,9.7,9.031,8.698,8.613,5300,4.6,'-1.79,0.85,BD+41_3931,'-0.07,
FUL00,HIP78640,*,*,HA,MS,"16 3 13.29955","42 14 46.6505",'-152.77,,10.33,9.85,9.6,9.4,8.822,8.517,8.491,5950,4.2,'-1.46,1.2,BD+42_2667,0.02,
HAN12,BD+42621,*,*,HA,RG,"2 45 32.4646","42 43 28.869",,,10.6,10.38,,,9.87,9.8,9.761,4725,1.5,'-2.48,1.7,BD+42_621,'-0.55,
ITO09,BD+44493,*,NO,HA,SG,"2 26 49.73813","44 57 46.5153",'-150.6,,9.63,9.11,,,7.659,7.269,7.202,5510,3.7,'-3.73,1.3,BD+44_493,'-0.55,1.32
ITO13,BD+44493,*,NO,HA,RG,"2 26 49.73813","44 57 46.5153",'-150.6,,9.63,9.11,,,7.659,7.269,7.202,5430,3.4,'-3.83,1.3,BD+44_493,'-0.6,1.35
ROE14a,BD+44493,*,*,HA,RG,"2 26 49.73813","44 57 46.5153",'-150.6,,9.63,9.11,,,7.659,7.269,7.202,5040,2.1,'-4.28,1.35,BD+44_493,'-0.88,1.2
ROE14b,BD+44493,*,*,HA,RG,"2 26 49.73813","44 57 46.5153",'-150.6,,9.63,9.11,,,7.659,7.269,7.202,5040,2.1,'-4.28,1.35,BD+44_493,'-0.88,1.2
FUL00,HIP22246,*,*,HA,MS,"4 47 18.37129","45 59 10.6275",95.76,,11.04,10.24,9.6,9.2,8.645,8.186,8.162,5200,4.5,'-0.36,1.2,BD+45_983,'-0.22,
FUL00,HIP21586,*,*,HA,MS,"4 38 7.83416","51 10 12.4678",,,11.28,10.43,9.9,9.5,8.823,8.412,8.278,4850,4.1,'-0.89,0.25,BD+50_1021,'-0.24,
BEN11,HIP16404,*,*,HA,MS,"3 31 17.39966","66 43 49.0378",'-161.9,10.48,10.57,9.91,9.3,8.87,8.53,8.16,8.07,5149,4.64,'-2.31,1.21,BD+66_268,'-0.35,
FUL00,HIP40068,*,*,HA,RG,"8 11 6.2358","79 54 29.5674",4.75,,10.57,10.07,9.6,9.3,8.711,8.333,8.261,5225,3,'-2.03,1.35,BD+80_245,'-1.94,
IVA03,G251-54,*,*,HA,RG,"8 11 6.2358","79 54 29.5674",4.75,,10.57,10.07,9.6,9.3,8.711,8.333,8.261,5225,3,'-2.09,1.25,BD+80_245,'-1.94,0.09
ROE14b,BD+80245,*,*,HA,RG,"8 11 6.2358","79 54 29.5674",4.75,,10.57,10.07,9.6,9.3,8.711,8.333,8.261,5360,3.15,'-2.04,1.2,BD+80_245,'-1.78,0.22
LAI07,BS16077-007,*,NO,HA,SG,"11 35 18","31 0 29",,,12.54,12.21,,,,,,5958,3.68,'-2.82,,BPS_BS_16077-0007,<-0.05,1.13
LAI08,BS16077-007,*,*,HA,MS,"11 35 18","31 0 29",,,12.54,12.21,,,,,,6544,4.29,'-2.71,1.6,BPS_BS_16077-0007,'-0.27,0.68
LAI07,BS16470-092,*,*,HA,SG,"12 23 38.8","14 41 21",,,14.42,13.94,,,,,,5948,3.67,'-1.83,,BPS_BS_16470-0092,'-0.47,0.33
LAI07,BS16472-081,*,*,HA,RG,"15 9 47.7","'-1 19 44",,,14.75,13.86,,,,,,4835,1.82,'-1.56,,BPS_BS_16472-0081,'-0.11,'-0.02
HAN11,CS30317-056,*,NO,HA,HB,"14 37 51.3","6 17 44.87",,,14.49,14.04,13.7,,12.941,12.659,12.634,6000,2,'-2.85,3,BPS_BS_16477-0021,'-0.37,<0.91
LAI07,BS16543-092,*,*,HA,RG,"13 25 22.1","19 29 48",,,,14.157,,,,,,4523,1.14,'-2.36,,BPS_BS_16543-0092,'-0.63,'-0.87
LAI07,BS16546-076,*,*,HA,RG,"14 26 24","11 58 42",,,14.54,13.68,,,,,,4775,1.68,'-1.74,,BPS_BS_16546-0076,0.05,'-0.02
LAI07,BS16547-005,*,*,HA,RG,"15 12 18.9","'-2 30 0",,,13.77,12.89,,,,,,4917,2.01,'-1.79,,BPS_BS_16547-0005,'-0.2,0.03
LAI07,BS16547-025,*,*,HA,RG,"15 15 38","'-3 20 38",,,14.4,13.62,,,,,,5197,2.74,'-1.62,,BPS_BS_16547-0025,0.43,'-0.67
RYA96,BS16547-049,*,*,HA,HB,"15 19 9.4","'-3 2 58",,,14.48,13.98,,,,,,5850,3,'-3.01,1.4,BPS_BS_16547-0049,'-0.68,
LAI07,BS16547-099,*,*,HA,SG,"15 26 28","'-2 37 7",,,14.83,14.15,,,,,,5856,3.63,'-1.34,,BPS_BS_16547-0099,0.63,0.33
LAI07,BS16934-009,*,*,HA,RG,"13 31 22","15 4 49",,,14,12.73,,,,,,4256,0.59,'-1.55,,BPS_BS_16934-0009,0.17,'-0.47
LAI07,BS16934-072,*,*,HA,SG,"13 44 25.9","13 44 11",,,14.54,14.13,,,,,,6187,3.78,'-1.8,,BPS_BS_16934-0072,0.24,0.53
RYA96,BS16968-061,*,*,HA,SG,"15 1 6.4","3 42 46",,,13.69,13.26,,,,,,6000,4,'-3.08,1.5,BPS_BS_16968-0061,<-0.23,
LAI07,BS16972-003,*,*,HA,SG,"13 9 6","15 24 16",,,14.68,14.28,,,,,,6231,3.8,'-2.42,,BPS_BS_16972-0003,'-0.35,<0.13
LAI07,BS16986-072,*,*,HA,RG,"12 3 57.3","8 2 48",,,,13.367,,,,,,4478,1.04,'-1.53,,BPS_BS_16986-0072,'-0.24,'-0.32
LAI07,BS17446-025,*,*,HA,SG,"15 19 38.3","44 23 36",'-176,,,,,,,,,5960,3.68,'-2.38,,BPS_BS_17446-0025,'-0.87,<0.13
LAI07,BS17570-090,*,*,HA,SG,"0 25 43.8","23 5 40",'-236,,13.54,13.15,,,,,,5924,3.66,'-2.6,,BPS_BS_17570-0090,<-0.05,<0.13
ROE14b,CS22169-008,*,*,HA,SG,"4 3 36.1","'-12 49 41",178,,15.42,14.99,,,,,,5810,3.6,'-2.85,1.3,BPS_CS_22169-0008,'-0.53,0.18
ROE14b,CS22171-031,*,*,HA,SG,"2 9 24.3","'-10 34 15",36,,14.32,13.93,,,,,,6010,3.7,'-2.54,1.35,BPS_CS_22171-0031,'-0.36,0.36
ROE14b,CS22171-037,*,*,HA,SG,"2 8 0.6","'-9 3 42",'-234,,15.28,14.93,,,,,,6110,3.65,'-3.63,1.6,BPS_CS_22171-0037,<-0.25,<1.3
LAI07,CS22174-012,*,*,HA,RG,"1 14 16","'-8 29 43",'-232,,,14.983,,,,,,4934,2.06,'-2.52,,BPS_CS_22174-0012,'-0.95,'-0.57
ROE14b,CS22174-020,*,*,HA,SG,"1 20 27.1","'-8 47 14",117,,15.46,15.06,,,,,,5840,3.55,'-3.29,1.4,BPS_CS_22174-0020,'-0.41,<0.76
ROE14b,CS22177-010,*,*,HA,SG,"4 10 0.4","'-25 44 42",93,,14.71,14.31,,,,,,6050,3.7,'-3.0,1.5,BPS_CS_22177-0010,'-0.39,<0.72
LAI07,CS22180-005,*,*,HA,SG,"1 34 27.7","'-10 16 21",38,,14.52,14.02,,,,,,5851,3.63,'-1.99,,BPS_CS_22180-0005,'-0.02,0.43
PRE00,CS22180-040,*,*,HA,MS,"1 45 52.15","'-8 5 2.9",'-135,14.68,14.85,14.52,,,,,,7050,4.5,'-1.18,2.5,BPS_CS_22180-0040,'-0.12,
PRE06,CS22191-029,*,*,HA,HB,"4 47 42.48","'-39 7 26.41",70,,14.46,14.05,,,12.947,12.646,12.614,6000,2.35,'-2.71,2.9,BPS_CS_22191-0029,'-0.16,0.25
ROE14b,CS22191-029,R1,NO,HA,HB,"4 47 42.48","'-39 7 26.41",70,,14.46,14.05,,,12.947,12.646,12.614,5810,1.55,'-2.94,2.8,BPS_CS_22191-0029,'-0.37,<0.96
MCW95,CS22783-055,*,*,HA,MS,,,,,,,,,,,,7880,4.2,'-2.86,2.5,BPS_CS_22783-0055,'-0.66,'-0.47
ROE14b,CS22871-104,*,*,HA,SG,"14 50 53.101","'-20 48 37.73",'-162,,15.33,14.91,,,13.865,13.631,13.56,6370,4,'-2.2,1.4,BPS_CS_22871-0104,'-0.14,<0.82
LAI08,CS22872-0102,*,*,HA,RG,"16 29 20.7","'-3 4 54",'-42,,14.24,13.65,,,,,,4550,0.7,'-2.86,2.2,BPS_CS_22872-0102,'-0.62,0.68
ROE14b,CS22872-102,*,*,HA,SG,"16 29 20.7","'-3 4 54",'-42,,14.24,13.65,,,,,,6020,3.65,'-2.85,1.4,BPS_CS_22872-0102,'-0.59,0.65
ROE14b,CS22873-072,*,*,HA,SG,"19 52 5.5","'-61 37 36",'-83,,15.05,14.64,,,,,,6030,3.7,'-3.08,1.4,BPS_CS_22873-0072,<-0.67,0.66
AND09,CS22873-166,*,*,HA,RG,"20 19 21.8","'-61 30 20",'-16.2,,12.81,11.82,,,,,9.137,4550,0.9,'-2.97,2.1,BPS_CS_22873-0166,'-0.75,
CAY04,CS22873-0166,*,*,HA,RG,"20 19 21.8","'-61 30 20",'-16.2,,12.81,11.82,,,,,9.137,4550,0.9,'-2.92,2.1,BPS_CS_22873-0166,'-0.8,'-0.09
HOL11,CS22873-166,*,*,HA,RG,"20 19 21.8","'-61 30 20",'-16.2,,12.81,11.82,,,,,9.137,4375,0.2,'-3.14,2.8,BPS_CS_22873-0166,'-0.84,0.03
MCW95,CS22873-0166,*,*,HA,RG,"20 19 21.8","'-61 30 20",'-16.2,,12.81,11.82,,,,,9.137,4480,0.8,'-2.88,3.01,BPS_CS_22873-0166,'-1.39,'-0.1
ROE14b,CS22874-123,*,*,HA,SG,"14 48 57.743","'-24 21 15.47",95,,15.15,14.7,15.2,,13.549,13.283,13.18,6240,3.8,'-2.79,1.65,BPS_CS_22874-0123,'-0.13,0.72
PRE06,CS22875-029,*,*,HA,HB,"22 29 25.1","'-38 57 47.5",70,,14.08,13.69,13.1,,12.584,12.298,12.267,6000,2.35,'-2.65,3.05,BPS_CS_22875-0029,0.41,0.25
ROE14b,CS22875-029,R1,CR,HA,HB,"22 29 25.1","'-38 57 47.5",70,,14.08,13.69,13.1,,12.584,12.298,12.267,5990,1.85,'-2.71,2.8,BPS_CS_22875-0029,0.33,<0.98
ROE14e,CS22875-029,*,*,HA,HB,"22 29 25.1","'-38 57 47.5",70,,14.08,13.69,13.1,,12.584,12.298,12.267,5990,1.85,'-2.69,2.8,BPS_CS_22875-0029,0.3,
MCW95,CS22877-011,*,*,HA,RG,"13 14 40","'-9 35 51",231,,14.46,13.86,,,,,,5130,2.35,'-2.9,2.15,BPS_CS_22877-0011,'-1.34,0.07
ROE14b,CS22877-011,*,*,HA,RG,"13 14 40","'-9 35 51",231,,14.46,13.86,,,,,,4950,1.9,'-3.23,1.45,BPS_CS_22877-0011,'-1.56,0.24
ROE14b,CS22877-015,*,*,HA,SG,"13 13 45.26","'-9 15 43.1",97,,13.63,13.23,,,12.188,11.974,11.9,6150,3.85,'-2.12,1.3,BPS_CS_22877-0015,0.42,0.28
ROE14b,CS22877-051,*,*,HA,SG,"13 23 31.138","'-12 35 13.12",276,14.44,14.599,14.26,,,13.215,12.958,12.933,6050,3.7,'-3.03,1.5,BPS_CS_22877-0051,'-0.51,<0.6
ROE14b,CS22878-002,*,*,HA,SG,"16 33 48.9","7 53 39",'-203,,14.81,14.36,,,,,,5850,3.55,'-2.97,1.3,BPS_CS_22878-0002,'-0.75,0.45
LAI08,CS22878-027,*,*,HA,MS,"16 37 35.6","10 22 8",'-116,,14.85,14.41,,,,,,6348,4.39,'-2.47,1.4,BPS_CS_22878-0027,<-1.01,0.94
ROE14b,CS22878-027,*,*,HA,SG,"16 37 35.6","10 22 8",'-116,,14.85,14.41,,,,,,5820,3.55,'-2.92,1.2,BPS_CS_22878-0027,'-0.98,0.61
ROE14b,CS22879-012,*,*,HA,SG,"20 37 14.03","'-41 2 33.5",'-40,,15.11,14.72,14.8,,13.748,13.495,13.41,6020,3.65,'-3.01,1.25,BPS_CS_22879-0012,'-0.51,0.36
ROE14b,CS22879-029,S,CR,HA,SG,"20 38 51.807","'-38 36 46.65",'-161,,14.89,14.45,14.145,13.821,13.425,13.153,13.126,5920,3.7,'-2.55,1.3,BPS_CS_22879-0029,1.39,1.46
ROE14b,CS22879-051,*,*,HA,SG,"20 42 36.48","'-39 18 29.4",'-25,,14.28,13.89,,,12.966,12.689,12.625,6190,3.75,'-3.02,1.5,BPS_CS_22879-0051,'-0.54,<0.94
ROE14b,CS22879-094,*,*,HA,SG,"20 50 8.36","'-38 42 55.8",37,,15.62,15.2,14.8,,14.171,13.889,13.748,5820,3.6,'-3.15,1.35,BPS_CS_22879-0094,'-0.4,0.29
PRE06,CS22879-097,*,*,HA,HB,"20 48 46.56","'-38 30 49.4",26,,14.68,14.22,13.7,,13.031,12.684,12.617,5800,2.3,'-2.43,2.25,BPS_CS_22879-0097,'-0.47,0.5
ROE14b,CS22879-097,*,*,HA,HB,"20 48 46.56","'-38 30 49.4",26,,14.68,14.22,13.7,,13.031,12.684,12.617,5640,1.55,'-2.66,2.55,BPS_CS_22879-0097,'-0.8,<0.53
PRE06,CS22879-103,*,*,HA,HB,"20 47 10.13","'-37 26 52.6",'-45,,14.79,14.3,13.4,,13.095,12.747,12.661,5775,1.85,'-2.08,3,BPS_CS_22879-0103,0.21,0.05
ROE14b,CS22879-103,*,*,HA,HB,"20 47 10.13","'-37 26 52.6",'-45,,14.79,14.3,13.4,,13.095,12.747,12.661,5720,1.6,'-2.16,2.55,BPS_CS_22879-0103,0.07,0.11
PRE00,CS22880-013,*,*,HA,MS,"20 37 28.2","'-20 14 31",'-179,,14.07,13.68,,,,,,7050,4.2,'-2.03,2,BPS_CS_22880-0013,'-0.07,
ROE14b,CS22880-067,*,*,HA,RG,"20 49 7.7","'-21 34 54",'-188,,15.59,15.08,,,,,,5570,3.35,'-3.23,1.05,BPS_CS_22880-0067,'-0.5,0.45
LAI07,CS22880-086,*,*,HA,RG,"20 45 47.5","'-18 33 29",'-90,,15.05,14.41,,,,,,5457,3.37,'-2.42,,BPS_CS_22880-0086,'-0.79,0.33
LAI08,CS22880-086,*,*,HA,RG,"20 45 47.5","'-18 33 29",'-90,,15.05,14.41,,,,,,5188,2.55,'-3.0,1.5,BPS_CS_22880-0086,'-0.88,0.32
ROE14b,CS22880-086,*,*,HA,RG,"20 45 47.5","'-18 33 29",'-90,,15.05,14.41,,,,,,4960,1.9,'-3.28,1.4,BPS_CS_22880-0086,'-1.02,0.18
ROE14b,CS22881-032,*,*,HA,RG,"22 3 0.58","'-41 14 26.3",'-35,,15.6,15.23,15,,14.284,14.009,13.94,5430,3.2,'-3.55,1.25,BPS_CS_22881-0032,'-0.3,<0.77
HAN11,CS22881-039,*,NO,HA,HB,"22 9 35.42","'-40 25 51.2",74,,15.52,15.14,14.1,,13.915,13.746,13.646,5950,2.1,'-2.75,3,BPS_CS_22881-0039,'-0.67,<0.81
PRE06,CS22881-039,*,*,HA,HB,"22 9 35.42","'-40 25 51.2",74,,15.52,15.14,14.1,,13.915,13.746,13.646,6100,2.6,'-2.69,2.75,BPS_CS_22881-0039,'-0.49,
ROE14b,CS22881-039,*,*,HA,HB,"22 9 35.42","'-40 25 51.2",74,,15.52,15.14,14.1,,13.915,13.746,13.646,6170,2.05,'-2.79,2.8,BPS_CS_22881-0039,'-0.6,<1.46
ROE14b,CS22881-070,*,*,HA,SG,"22 16 37.05","'-40 44 6",'-120,,14.76,14.39,13.7,,13.437,13.177,13.18,6020,3.7,'-2.96,1.35,BPS_CS_22881-0070,'-0.47,<0.63
PRE06,CS22883-037,*,*,HA,HB,"14 24 19.43","11 29 26.3",'-262.8,,15.28,14.73,14.2,,13.733,13.425,13.378,5900,1.9,'-1.89,2.75,BPS_CS_22883-0037,0.01,0.25
ROE14b,CS22884-020,*,*,HA,SG,"15 34 22.43","'-8 33 40.1",19,15.27,15.41,14.95,,,13.759,13.443,13.535,6040,3.75,'-2.48,1.45,BPS_CS_22884-0020,'-0.37,0.37
PRE00,CS22884-065,*,*,HA,MS,"15 39 28.9","'-7 51 28",'-34,,14.31,13.83,,,,,,7050,4.5,'-1.65,2,BPS_CS_22884-0065,'-0.32,
ROE14b,CS22885-040,*,*,HA,SG,"20 18 7.96","'-38 5 57.2",58,,15.64,15.24,15.5,,14.137,13.915,13.805,6160,3.75,'-2.78,1.45,BPS_CS_22885-0040,<-0.88,0.58
PRE00,CS22885-0162,*,*,HA,MS,"20 35 29.81","'-41 47 14.3",'-86,,13.414,13.1,,,,,,7300,4.2,'-0.37,2.5,BPS_CS_22885-0162,0.15,
ROE14b,CS22885-203,*,*,HA,SG,"20 30 19.28","'-37 42 17.1",'-32,,14.64,14.23,13.9,,13.169,12.87,12.842,5820,3.6,'-2.73,1.3,BPS_CS_22885-0203,'-0.46,0.21
ROE14b,CS22886-012,R2,*,HA,SG,"22 13 25.7","'-8 43 44",'-61,,14.99,14.52,,,,,,5650,3.5,'-2.88,1.45,BPS_CS_22886-0012,0.41,0.11
ROE14e,CS22886-012,*,*,HA,SG,"22 13 25.7","'-8 43 44",'-61,,14.99,14.52,,,,,,5650,3.5,'-2.61,1.45,BPS_CS_22886-0012,0.14,
ROE14b,CS22888-031,*,*,HA,SG,"23 11 32.47","'-35 26 42.9",'-126,,15.31,14.9,,,13.897,13.579,13.583,5810,3.5,'-3.71,1.25,BPS_CS_22888-0031,<-0.41,0.92
PRE06,CS22888-047,*,*,HA,HB,"23 20 19.85","'-33 45 46.9",'-161,,15.01,14.61,14.1,,13.46,13.194,13.127,6000,2.5,'-2.37,3,BPS_CS_22888-0047,0.22,0.25
ROE14b,CS22888-047,R1,CR,HA,HB,"23 20 19.85","'-33 45 46.9",'-161,,15.01,14.61,14.1,,13.46,13.194,13.127,5950,1.9,'-2.54,3,BPS_CS_22888-0047,0.04,<0.91
ROE14e,CS22888-047,*,*,HA,HB,"23 20 19.85","'-33 45 46.9",'-161,,15.01,14.61,14.1,,13.46,13.194,13.127,5950,1.9,'-2.54,3,BPS_CS_22888-0047,0.04,
ROE14b,CS22889-050,*,*,HA,SG,"13 45 30.107","'-9 47 11.01",233,14.547,14.6,14.28,,,13.257,12.973,12.926,5920,3.6,'-3.09,1.4,BPS_CS_22889-0050,'-0.32,<0.76
ROE14b,CS22890-011,*,*,HA,SG,"15 13 20.9","2 15 0",'-121,,14.99,14.61,,,,,,6010,3.7,'-2.68,1.25,BPS_CS_22890-0011,'-0.11,<0.45
ROE14b,CS22891-221,*,*,HA,RG,"19 35 10.6","'-59 41 56",27,,14.99,14.43,,,,,,5290,2.8,'-3.23,1.85,BPS_CS_22891-0221,'-0.39,0.44
PRE00,CS22892-020,*,*,HA,MS,"22 7 22.47","'-14 4 37.3",'-188,14.48,14.71,14.39,,,,,,7050,4.2,'-1.84,2.5,BPS_CS_22892-0020,'-0.07,
ROE14b,CS22892-025,*,*,HA,SG,"22 7 42.9","'-15 15 2",168,,14.42,14.03,,,,,,6140,3.75,'-2.78,1.45,BPS_CS_22892-0025,'-0.36,0.76
PRE00,CS22892-027,*,*,HA,SG,"22 8 4.76","'-15 35 27.3",'-6,13.02,13.06,12.74,,,,,,7200,4,'-1.01,2.5,BPS_CS_22892-0027,0.08,
ROE14b,CS22893-005,*,*,HA,RG,"22 53 50.9","'-9 59 15",'-84,,14.75,14.22,,,,,,5260,2.75,'-2.99,1.3,BPS_CS_22893-0005,'-0.71,0.11
LAI07,CS22893-010,*,*,HA,SG,"22 58 11.6","'-11 56 45",'-26,,15.33,14.74,,,,,,5528,3.44,'-2.38,,BPS_CS_22893-0010,<-0.05,0.43
ROE14a,CS22893-010,*,*,HA,RG,"22 58 11.6","'-11 56 45",'-26,,15.33,14.74,,,,,,5150,2.45,'-3.12,1.35,BPS_CS_22893-0010,'-1.09,0.31
ROE14b,CS22893-010,*,*,HA,RG,"22 58 11.6","'-11 56 45",'-26,,15.33,14.74,,,,,,5150,2.45,'-3.12,1.35,BPS_CS_22893-0010,'-1.09,0.31
ROE14b,CS22893-011,*,*,HA,SG,"23 0 52.3","'-10 35 24",'-116,,14.97,14.54,,,,,,6010,3.75,'-2.4,1.4,BPS_CS_22893-0011,0.28,0.34
ROE14b,CS22894-004,*,*,HA,SG,"23 32 39.553","0 56 12.43",'-4.5,,14.58,14.17,,,13.111,12.861,12.808,5920,3.65,'-2.96,1.5,BPS_CS_22894-0004,'-0.67,0.42
ROE14b,CS22894-019,*,*,HA,SG,"23 39 18.9","0 3 42",27,,14.36,13.92,,,,,,5930,3.6,'-2.98,1.25,BPS_CS_22894-0019,'-0.65,0.32
PRE00,CS22894-043,*,*,HA,MS,"23 47 17.81","0 44 35.9",'-51,14.28,14.33,13.99,,,,,,7100,4.2,'-0.81,2.5,BPS_CS_22894-0043,'-0.07,
ROE14b,CS22894-049,*,*,HA,SG,"23 49 52.5","'-1 57 50",'-23,,14.91,14.46,,,,,,5870,3.9,'-2.84,1.15,BPS_CS_22894-0049,'-0.32,0.42
ROE14b,CS22896-015,*,*,HA,RG,"19 18 45.6","'-55 24 43",50,,14.85,14.85,,,,,,5080,2.25,'-2.85,1.25,BPS_CS_22896-0015,'-0.45,0.09
ROE14b,CS22896-055,R1,NO,HA,HB,"19 29 43.8","'-53 59 27",'-84,,13.96,13.53,,,,,,5970,1.85,'-2.52,3.15,BPS_CS_22896-0055,'-0.24,<0.89
PRE06,CS22896-110,*,*,HA,HB,"19 35 48.01","'-53 26 16.39",77,,14.09,13.56,12.9,,12.18,11.791,11.78,5500,2.15,'-2.69,2.2,BPS_CS_22896-0110,'-0.35,0.25
ROE14b,CS22896-110,*,*,HA,RG,"19 35 48.01","'-53 26 16.39",77,,14.09,13.56,12.9,,12.18,11.791,11.78,5380,1.15,'-2.85,2.25,BPS_CS_22896-0110,'-0.59,0.19
ROE14b,CS22896-115,*,*,HA,SG,"19 35 5.069","'-52 47 11.7",1,,14.55,14.13,,,13.028,12.765,12.71,5910,3.65,'-2.82,1.2,BPS_CS_22896-0115,'-0.56,0.38
ROE14b,CS22896-136,S,CR,HA,SG,"19 39 53.3","'-54 10 21",'-22,,15.12,14.71,,,,,13.416,6190,3.85,'-2.41,1.4,BPS_CS_22896-0136,1.44,1.3
PRE00,CS22896-0173,*,*,HA,SG,"19 53 4.03","'-55 43 58",80,14.39,14.48,14.13,,,,,,7000,4,'-1.16,2.5,BPS_CS_22896-0173,'-0.01,
PRE00,CS22897-057,*,*,HA,MS,"21 19 0","'-65 50 0",,,14.732,14.39,,,,,,7100,4.2,'-0.35,2,BPS_CS_22897-0057,'-0.04,
PRE06,CS22898-043,*,*,HA,HB,"21 10 36.77","'-21 44 51.8",113,,14.49,14.06,14,,12.909,12.674,12.65,6050,2.4,'-2.83,3,BPS_CS_22898-0043,'-0.68,
ROE14b,CS22898-043,*,*,HA,HB,"21 10 36.77","'-21 44 51.8",113,,14.49,14.06,14,,12.909,12.674,12.65,6160,2.15,'-2.83,3.1,BPS_CS_22898-0043,'-0.72,<1.2
ROE14b,CS22898-047,*,*,HA,RG,"21 5 59.5","'-21 6 53",'-50,,14.8,14.24,,,,,,5150,2.4,'-3.51,1.4,BPS_CS_22898-0047,'-0.8,0.4
PRE00,CS30492-029,*,*,HA,MS,"21 2 17.3","'-38 43 57.9",'-45,13.94,13.98,13.65,,,,,,7300,4.3,'-0.68,3,BPS_CS_22937-0017,'-0.0,
PRE06,CS22940-077,*,*,HA,RG,"20 41 33.71","'-59 50 35.2",41,,14.66,14.13,13.9,,12.679,12.3,12.22,5400,2,'-2.93,1.95,BPS_CS_22940-0077,'-0.48,0.25
ROE14b,CS22940-077,*,*,HA,RG,"20 41 33.71","'-59 50 35.2",41,,14.66,14.13,13.9,,12.679,12.3,12.22,5350,1.35,'-3.1,2,BPS_CS_22940-0077,'-0.87,<0.32
PRE06,CS22940-121,*,*,HA,RG,"20 55 10.87","'-58 0 55.2",'-3,,14.16,14.16,13.9,,12.738,12.339,12.267,5400,2,'-2.89,2.15,BPS_CS_22940-0121,0.14,0.25
ROE14b,CS22940-121,*,*,HA,RG,"20 55 10.87","'-58 0 55.2",'-3,,14.16,14.16,13.9,,12.738,12.339,12.267,5200,1.15,'-3.14,1.95,BPS_CS_22940-0121,'-0.14,<-0.12
PRE00,CS22941-005,*,*,HA,MS,"23 29 52.834","'-35 13 3.83",'-62,,14.88,14.61,,,13.999,13.824,13.77,7450,4.2,'-2.41,2,BPS_CS_22941-0005,'-0.07,
PRE06,CS22941-027,*,*,HA,HB,"23 34 58.09","'-36 52 5.7",'-96,,14.4,14.05,14.3,,13.06,12.721,12.747,6400,2.8,'-2.36,3.6,BPS_CS_22941-0027,'-0.28,
ROE14b,CS22941-027,*,*,HA,HB,"23 34 58.09","'-36 52 5.7",'-96,,14.4,14.05,14.3,,13.06,12.721,12.747,6050,1.7,'-2.71,3.15,BPS_CS_22941-0027,'-0.59,<1.23
PRE00,CS22941-035,*,*,HA,MS,"23 38 7.83","'-35 52 52.3",'-1,,14.362,14,,,,,,7250,4.5,'-0.12,3,BPS_CS_22941-0035,'-0.62,
PRE00,CS22942-012,*,*,HA,MS,"0 51 5.75","'-25 31 41.1",'-46,14.37,14.43,14.14,,,,,,7200,4.2,'-1.22,3.5,BPS_CS_22942-0012,'-0.28,
ROE14b,CS22943-059,*,*,HA,SG,"20 19 0.66","'-43 17 22.8",239.5,,14.9,14.4,,,13.673,13.339,13.32,5810,3.6,'-2.95,1.15,BPS_CS_22943-0059,'-0.9,0.22
ROE14b,CS22943-132,*,*,HA,SG,"20 22 50.912","'-43 13 39.39",3,13.503,13.727,13.31,,,12.266,12.002,11.95,5850,3.6,'-2.63,1.4,BPS_CS_22943-0132,'-0.09,0.65
