Ref,Name,Sci_key,C_key,Loc,Type,RA,DEC,Vel,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Simbad_Identifier,Ba/Fe,C/Fe
BAR05,HE0244-4111,*,*,HA,SG,"2 45 57.455","'-40 59 6.82",214.3,,15.531,15.025,14.673,14.302,13.795,13.447,13.404,5624,3.39,'-2.56,1.38,2MASS_J02455745-4059068,'-0.37,0.21
BAR05,HE0243-0753,*,*,HA,RG,"2 46 14.152","'-7 40 53.14",'-14,,14.2,13.561,13.1,12.63,11.942,11.517,11.395,5066,2.29,'-2.49,1.77,2MASS_J02461415-0740531,'-1.07,0.25
BAR05,HE0248+039,*,*,HA,RG,"2 50 59.054","0 51 31.33",48.9,,16.393,15.698,15.285,14.783,14.27,13.807,13.656,5199,2.57,'-2.53,1.75,2MASS_J02505905+0051313,'-0.31,0.06
LAI07,CS22963-004,*,*,HA,SG,"2 56 46.574","'-4 51 17.48",294.4,,15.51,14.98,,,13.632,13.236,13.2,5803,3.61,'-3.03,,2MASS_J02564657-0451174,<-0.05,<0.13
LAI08,CS22963-004,*,*,HA,SG,"2 56 46.574","'-4 51 17.48",294.4,,15.51,14.98,,,13.632,13.236,13.2,5659,3.4,'-3.41,1.6,2MASS_J02564657-0451174,'-0.52,0.48
ROE14b,CS22963-004,*,*,HA,RG,"2 56 46.574","'-4 51 17.48",294.4,,15.51,14.98,,,13.632,13.236,13.2,5060,2.15,'-4.09,1.5,2MASS_J02564657-0451174,'-0.61,0.51
LAI07,CS31078-018,*,NO,HA,RG,"3 1 0.696","6 16 31.89",,,13.9,13.211,12.713,12.19,11.496,11.071,10.999,5106,2.49,'-3.02,,2MASS_J03010069+0616318,0.08,0.73
LAI08,CS31078-018,*,*,HA,RG,"3 1 0.696","6 16 31.89",,,13.9,13.211,12.713,12.19,11.496,11.071,10.999,5257,2.75,'-2.83,1.5,2MASS_J03010069+0616318,0.59,0.45
BAR05,HE0300-0751,*,*,HA,RG,"3 3 4.064","'-7 39 42.33",155.5,,17,16.256,15.3,15.333,14.697,14.371,14.238,5280,2.97,'-2.27,1.61,2MASS_J03030406-0739423,'-0.02,0.06
AND09,CS22968-014,*,*,HA,RG,"3 6 29.51","'-54 30 32.53",158.3,,14.44,13.7,13.212,12.715,12.026,11.533,11.467,4850,1.7,'-3.56,1.9,2MASS_J03062950-5430325,<-1.82,
CAY04,CS22968-014,*,*,HA,RG,"3 6 29.51","'-54 30 32.53",158.3,,14.44,13.7,13.212,12.715,12.026,11.533,11.467,4850,1.7,'-3.57,1.9,2MASS_J03062950-5430325,'-1.81,0.35
COH13,HE0305-5442,*,*,HA,RG,"3 6 29.51","'-54 30 32.53",158.3,,14.44,13.7,13.212,12.715,12.026,11.533,11.467,4904,1.7,'-3.3,2,2MASS_J03062950-5430325,<-2.46,0.39
MCW95,CS22968-014,*,*,HA,RG,"3 6 29.51","'-54 30 32.53",158.3,,14.44,13.7,13.212,12.715,12.026,11.533,11.467,4840,1.8,'-3.39,1.9,2MASS_J03062950-5430325,<-1.39,0.21
ROE14b,CS22968-014,*,*,HA,RG,"3 6 29.51","'-54 30 32.53",158.3,,14.44,13.7,13.212,12.715,12.026,11.533,11.467,4540,0.6,'-3.99,1.75,2MASS_J03062950-5430325,<-1.99,0.39
RYA96,CS22968-014,*,*,HA,RG,"3 6 29.51","'-54 30 32.53",158.3,,14.44,13.7,13.212,12.715,12.026,11.533,11.467,4950,1.8,'-3.43,2.3,2MASS_J03062950-5430325,<-1.54,
BAR05,HE0305-4520,*,*,HA,RG,"3 7 2.194","'-45 9 0.65",135.3,,14.791,13.979,13.473,12.973,12.203,11.732,11.628,4817,1.56,'-2.91,2.02,2MASS_J03070219-4509006,0.53,0.28
SPI14,HE0305-4520,*,*,HA,RG,"3 7 2.194","'-45 9 0.65",135.3,,14.791,13.979,13.473,12.973,12.203,11.732,11.628,4820,1.3,'-2.96,,2MASS_J03070219-4509006,0.28,0.55
JAC15,2MASS_J03084611-4747083,*,*,HA,RG,"03 08 46.116","'-47 47 08.32",,,,,,,12.808,12.333,12.249,5071,2.15,'-1.56,1.9,2MASS_J03084611-4747083,0.18,0.2
AND09,CS22172-002,*,*,HA,RG,"3 14 20.849","'-10 35 11.3",255,,13.54,12.73,12.204,11.693,10.898,10.431,10.32,4800,1.3,'-3.86,2.2,2MASS_J03142084-1035112,'-1.22,
CAY04,CS22172-002,*,*,HA,RG,"3 14 20.849","'-10 35 11.3",255,,13.54,12.73,12.204,11.693,10.898,10.431,10.32,4800,1.3,'-3.86,2.2,2MASS_J03142084-1035112,'-1.22,0.09
NOR01,CS22172-002,*,*,HA,RG,"3 14 20.849","'-10 35 11.3",255,,13.54,12.73,12.204,11.693,10.898,10.431,10.32,4900,2,'-3.61,2,2MASS_J03142084-1035112,'-1.21,0.34
RYA96,CS22172-002,*,*,HA,RG,"3 14 20.849","'-10 35 11.3",255,,13.54,12.73,12.204,11.693,10.898,10.431,10.32,4900,1.8,'-3.57,2.2,2MASS_J03142084-1035112,'-1.22,
PRE00,CS22185-009,*,*,HA,SG,"3 14 53.75","'-14 43 53.71",,,14.13,13.79,,,13.166,12.897,12.93,7100,3.9,'-1.65,2.5,2MASS_J03145375-1443537,0.21,
LAI07,CS22185-007,*,*,HA,RG,"3 17 36.049","'-15 17 22.72",105,,14.05,13.34,12.853,12.372,11.665,11.199,11.13,5193,2.73,'-2.45,,2MASS_J03173604-1517227,'-0.51,0.38
ROE14b,CS22185-007,*,*,HA,RG,"3 17 36.049","'-15 17 22.72",105,,14.05,13.34,12.853,12.372,11.665,11.199,11.13,4730,1.3,'-3.06,1.55,2MASS_J03173604-1517227,'-0.96,0.16
BAR05,HE0315+0000,*,*,HA,RG,"3 17 39.01","0 11 4.51",'-120.8,,16.3,15.516,15.3,14.506,13.766,13.255,13.203,5013,2.11,'-2.73,1.72,2MASS_J03173900+0011045,0.3,0.14
BAR05,HE0317-4640,*,*,HA,MS,"3 18 56.255","'-46 29 27.67",9.3,,16.4,16.631,16.2,15.974,15.585,15.288,15.25,5872,4.1,'-2.32,1.49,2MASS_J03185625-4629276,'-0.24,0.18
BAR05,HE0316+0214,*,*,HA,RG,"3 19 9.224","2 24 54.3",'-161,,16.2,15.541,15.3,14.332,13.451,12.825,12.73,4639,1.39,'-3.14,1.98,2MASS_J03190922+0224543,'-1.43,'-0.75
BAR05,HE0323-4529,*,*,HA,RG,"3 25 30.207","'-45 19 31.51",180.6,,15.373,14.734,14.3,13.862,13.256,12.832,12.747,5127,2.51,'-3.14,1.62,2MASS_J03253020-4519315,0.25,0.34
ALL12,CS29526-110,*,*,HA,SG,"3 27 43.628","'-23 0 29.98",208.35,,13.71,13.35,13.116,12.834,12.587,12.367,12.367,6650,3.79,'-2.19,1.6,2MASS_J03274362-2300299,2.14,2.37
AOK02d,CS29526-110,*,*,HA,SG,"3 27 43.628","'-23 0 29.98",208.35,,13.71,13.35,13.116,12.834,12.587,12.367,12.367,6500,3.2,'-2.38,1.6,2MASS_J03274362-2300299,2.15,2.29
AOK08,CS29526-110,*,NO,HA,MS,"3 27 43.628","'-23 0 29.98",208.35,,13.71,13.35,13.116,12.834,12.587,12.367,12.367,6800,4.1,'-2.11,2.1,2MASS_J03274362-2300299,2.43,2.08
BAR05,HE0328-1047,*,*,HA,RG,"3 30 45.351","'-10 37 9.87",'-58,,14.97,14.36,13.926,13.543,12.884,12.491,12.394,5301,3.03,'-2.24,1.21,2MASS_J03304535-1037098,'-0.12,0.1
ROE14b,CS22172-029,*,*,HA,RG,"3 30 45.351","'-10 37 9.87",'-58,,14.97,14.36,13.926,13.543,12.884,12.491,12.394,4960,1.9,'-2.68,1.3,2MASS_J03304535-1037098,'-0.36,0.05
BAR05,HE0330-4004,*,*,HA,SG,"3 32 7.371","'-39 54 50.16",227,,16.535,16.101,15.801,15.478,15.157,14.776,14.829,5946,3.78,'-2.19,1.53,2MASS_J03320737-3954501,'-0.08,0.04
BAR05,HE0330-4144,*,*,HA,MS,"3 32 16.219","'-41 34 48.54",134.2,,16.392,16.013,15.719,15.383,14.893,14.666,14.757,5961,4.2,'-1.89,1.52,2MASS_J03321621-4134485,'-0.08,0.15
BAR05,HE0331-4939,*,*,HA,RG,"3 32 41.834","'-49 29 9.43",273.4,,15.8,15.502,14.9,14.673,14.061,13.544,13.588,5206,2.6,'-2.87,1.55,2MASS_J03324183-4929094,'-0.98,0.3
BAR05,HE0333-4001,*,*,HA,MS,"3 35 25.774","'-39 51 46.86",'-162.3,,16.586,16.105,15.884,15.52,15.054,14.718,14.63,5892,4.31,'-2.64,1.3,2MASS_J03352577-3951468,'-0.21,0.27
BAR05,HE0336-3829,*,*,HA,SG,"3 38 31.794","'-38 20 14.03",'-109.1,,17.19,16.818,16.494,16.123,15.691,15.546,15.391,5740,3.22,'-2.75,1.48,2MASS_J03383179-3820140,'-0.13,0.19
BAR05,HE0337-5127,*,*,HA,RG,"3 39 13.125","'-51 18 16.33",75.4,,16.315,15.759,15.361,14.933,14.363,13.922,13.883,5247,2.86,'-2.61,1.55,2MASS_J03391312-5118163,'-0.07,0.12
BAR05,HE0338-3945,*,*,HA,MS,"3 39 55.005","'-39 35 42.91",177.7,,15.753,15.333,15.098,14.787,14.403,14.114,14.084,6162,4.09,'-2.41,1.33,2MASS_J03395500-3935429,2.36,2.03
JON06,HE0338-3945,I,CR,HA,MS,"3 39 55.005","'-39 35 42.91",177.7,,15.753,15.333,15.098,14.787,14.403,14.114,14.084,6160,4.13,'-2.43,1.13,2MASS_J03395500-3935429,2.35,2.08
BAR05,HE0339-4027,*,*,HA,MS,"3 40 49.658","'-40 17 35.42",22,,14.6,14.45,14.1,13.819,13.369,13.058,13.054,5896,4.11,'-1.81,1.48,2MASS_J03404965-4017354,'-0.15,0.14
BAR05,HE0340-5355,*,*,HA,RG,"3 41 34.566","'-53 46 18",317.5,,16.027,15.249,14.768,14.278,13.683,13.183,13.105,4862,1.81,'-2.88,1.87,2MASS_J03413456-5346180,'-1.46,'-0.15
BAR05,HE0340-3430,*,*,HA,SG,"3 42 4.777","'-34 20 50.01",228.1,,14.9,14.783,14.7,14.189,13.782,13.49,13.359,5914,3.81,'-1.95,1.59,2MASS_J03420477-3420500,'-0.27,0.02
BAR05,HE0341-4024,*,*,HA,MS,"3 43 8.094","'-40 15 29.53",211.8,,14.051,13.638,13.364,13.047,12.623,12.366,12.365,6108,4.2,'-1.82,1.41,2MASS_J03430809-4015295,'-0.13,0.22
LI15a,LAMOSTJ0343-0227,*,*,HA,RG,"3 43 22.869","'-2 27 56.06",,,,,,,11.824,11.299,11.204,4790,1.5,'-2.42,2,2MASS_J03432286-0227560,'-0.34,'-0.11
BAR05,HE0344+0139,*,*,HA,MS,"3 47 15.733","1 49 3",'-232.9,,16.132,15.469,15.049,14.614,14.002,13.658,13.683,6291,4.18,'-1.8,1.45,2MASS_J03471573+0149030,'-0.19,0.37
BAR05,HE0347-1819,*,*,HA,MS,"3 49 18.372","'-18 10 40.58",'-4.8,,16.1,15.592,15.5,14.719,14.28,13.836,13.653,5198,4.23,'-2.77,1.61,2MASS_J03491837-1810405,'-0.56,'-0.01
LAI07,CS22190-007,*,*,HA,SG,"3 52 21.805","'-16 24 32.58",'-132,,14.66,14.2,,13.504,13.059,12.706,12.656,6013,3.71,'-2.02,,2MASS_J03522180-1624325,0.86,0.13
PRE06,CS22190-007,*,*,HA,HB,"3 52 21.805","'-16 24 32.58",'-132,,14.66,14.2,,13.504,13.059,12.706,12.656,5700,2.3,'-2.57,1.95,2MASS_J03522180-1624325,'-0.13,0.25
ROE14b,CS30494-003,*,*,HA,RG,"3 59 10.028","'-21 6 47.98",'-49,,12.4,12.33,11.8,11.474,10.904,10.453,10.395,4930,1.85,'-2.97,1.35,2MASS_J03591002-2106479,'-0.65,0.13
ROE14b,CS29529-054,*,*,HA,SG,"3 59 23.873","'-62 10 8.9",111,15.088,15.41,14.85,14.4,14.149,13.65,13.334,13.227,5710,3.55,'-2.55,1.65,2MASS_J03592387-6210089,'-0.22,0.39
